Molecule ChEMBL ID,MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL4175045,0.8787115384615386,0.6510769230769233,0.5010192307692307,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',4.1,nM,CHEMBL4152247, 
CHEMBL4166609,0.8787115384615387,0.6207499999999999,0.5108461538461541,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3cccn3)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',4.1,nM,CHEMBL4152247, 
CHEMBL4165126,0.8116666666666668,0.6073333333333333,0.5206666666666667,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N1CCOCC1,IC50,'=',838.5,nM,CHEMBL4152247, 
CHEMBL4164396,0.8313499999999997,0.5740749999999999,0.507225,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1OCCN(C)C,IC50,'=',16.4,nM,CHEMBL4152247, 
CHEMBL4176827,0.82975,0.6044999999999999,0.52325,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3cccn3)n2)c(OC)cc1N1CCOCC1,IC50,'>',1000.0,nM,CHEMBL4152247, 
CHEMBL4174523,0.838,0.6307499999999999,0.51275,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N1CCOCC1,IC50,'>',1000.0,nM,CHEMBL4152247, 
CHEMBL4159404,0.8327142857142855,0.5905238095238095,0.3521428571428572,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N1CCC(N(C)C)CC1,IC50,'=',38.5,nM,CHEMBL4152247, 
CHEMBL4166210,0.8333023255813952,0.5729767441860466,0.3706279069767441,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3cccn3)n2)c(OC)cc1N1CCN(C)CC1,IC50,'=',142.7,nM,CHEMBL4152247, 
CHEMBL4173032,0.8155714285714286,0.5757714285714286,0.3745714285714285,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N1CCN(C)CC1,IC50,'=',174.5,nM,CHEMBL4152247, 
CHEMBL4162767,0.8603829787234041,0.6235106382978722,0.5102765957446808,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',33.1,nM,CHEMBL4152247, 
CHEMBL4581316,0.8122173913043479,0.628304347826087,0.5438260869565219,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',8.0,nM,CHEMBL4382192, 
CHEMBL4516287,0.8775,0.6505,0.4955,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',86.0,nM,CHEMBL4382192, 
CHEMBL4540442,0.868,0.6505,0.4955,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',12.0,nM,CHEMBL4382192, 
CHEMBL4448107,0.845,0.6395,0.4865,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.0,nM,CHEMBL4382192, 
CHEMBL4473365,0.845,0.6395,0.4865,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',4.0,nM,CHEMBL4382192, 
CHEMBL4558227,0.81752,0.6216800000000001,0.54264,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',5.0,nM,CHEMBL4382192, 
CHEMBL4465103,0.8305428571428571,0.6223142857142857,0.5478285714285713,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',35.0,nM,CHEMBL4382192, 
CHEMBL4565984,0.8365,0.6395,0.4865,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',3.0,nM,CHEMBL4382192, 
CHEMBL4520341,0.8144782608695651,0.628304347826087,0.5438260869565219,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',12.0,nM,CHEMBL4382192, 
CHEMBL4467561,0.8365,0.6395,0.4865,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',5.0,nM,CHEMBL4382192, 
CHEMBL4449391,0.8365,0.6395,0.4865,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',4.0,nM,CHEMBL4382192, 
CHEMBL4531697,0.845,0.6395,0.4865,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',33.0,nM,CHEMBL4382192, 
CHEMBL3425661,0.809,0.446,0.367,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)/C(C#N)=C/c3ccncc3)c2)n1,IC50,'=',37.0,nM,CHEMBL3425413, 
CHEMBL3425660,0.809,0.431,0.355,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)/C(C#N)=C/c3ccc(C#N)cc3)c2)n1,IC50,'=',940.0,nM,CHEMBL3425413, 
CHEMBL3425662,0.803,0.431,0.373,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)/C(C#N)=C/c3ccco3)c2)n1,IC50,'=',330.0,nM,CHEMBL3425413, 
