Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL4203016,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,'=',4.9,nM,CHEMBL4196024,
CHEMBL4204139,CN(CCCO)c1nc(Nc2ccc(F)cc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,IC50,'=',51.9,nM,CHEMBL4196024,
CHEMBL4204983,CN(C)CCN(C)c1nc(Nc2ccc(F)cc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,IC50,'=',24.7,nM,CHEMBL4196024,
CHEMBL4226907,O=C(N/N=C/c1ccc(F)cc1Cl)N1CCc2ncnc(Nc3cccc(Br)c3)c2C1,IC50,'=',939.7,nM,CHEMBL4219106,
CHEMBL4228518,CN(C)CCOc1ccc(Nc2ncc3nc(Sc4ccc(F)cc4)n(C4CCOCC4)c3n2)cc1,IC50,'=',114.0,nM,CHEMBL4219174,
CHEMBL4226676,CN(C)C1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1,IC50,'=',104.0,nM,CHEMBL4219174,
CHEMBL4226937,CN(C)CCOc1ccc(Nc2ncc3nc(Sc4cccc(F)c4)n(C4CCOCC4)c3n2)cc1,IC50,'=',805.0,nM,CHEMBL4219174,
CHEMBL4226151,CN1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1,IC50,'=',892.0,nM,CHEMBL4219174,
CHEMBL4225565,CN1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n([C@H]5CC[C@H](O)CC5)c4n3)cc2)CC1,IC50,'=',529.0,nM,CHEMBL4219174,
CHEMBL4225777,CN(C)CCOc1ccc(Nc2ncc3nc(Sc4ccccc4)n(C4CCOCC4)c3n2)cc1,IC50,'=',556.0,nM,CHEMBL4219174,
CHEMBL4279227,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.5,nM,CHEMBL4257480,
CHEMBL4287401,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1,IC50,'=',0.7,nM,CHEMBL4257480,
CHEMBL4287141,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(F)ccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.0,nM,CHEMBL4257480,
CHEMBL4293145,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,IC50,'=',0.7,nM,CHEMBL4257480,
CHEMBL4290812,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,IC50,'=',0.3,nM,CHEMBL4257480,
CHEMBL4278815,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.3,nM,CHEMBL4257480,
CHEMBL4280993,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C,IC50,'=',2.7,nM,CHEMBL4257480,
CHEMBL4286318,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.4,nM,CHEMBL4257480,
CHEMBL4289490,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(Cl)ccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.6,nM,CHEMBL4257480,
CHEMBL4293126,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC)cc1N(C)CCN(C)C,IC50,'=',0.8,nM,CHEMBL4257480,
CHEMBL4279057,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)C1,IC50,'=',0.7,nM,CHEMBL4257480,
CHEMBL4290568,C=C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.0,nM,CHEMBL4257480,
CHEMBL4282543,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1,IC50,'=',0.4,nM,CHEMBL4257480,
CHEMBL4282523,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)ccc1N(C)CCN(C)C,IC50,'=',1.5,nM,CHEMBL4257480,
CHEMBL4282954,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,IC50,'=',0.6,nM,CHEMBL4257480,
CHEMBL4288246,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN1CCOCC1,IC50,'=',1.2,nM,CHEMBL4257480,
CHEMBL4293734,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)CC1,IC50,'=',1.0,nM,CHEMBL4257480,
CHEMBL4282688,C=C=CC(=O)Nc1cc(Nc2ncc(OC)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.7,nM,CHEMBL4257480,
